xm,ym,length,xnormal,ynormal,Tx,Ty,F,phi,dF_dn,dphi_dn
2.500000,-0.150000,0.100000,1.000000,0.000000,0.001000,0.000000,-0.001400,0.001610,0.001000,0.005000
2.500000,-0.050000,0.100000,1.000000,0.000000,0.001000,0.000000,-0.001408,0.001806,0.001000,0.005000
2.500000,0.050000,0.100000,1.000000,0.000000,0.001000,0.000000,-0.001408,0.002006,0.001000,0.005000
2.500000,0.150000,0.100000,1.000000,0.000000,0.001000,0.000000,-0.001400,0.002210,0.001000,0.005000
2.500000,0.250000,0.100000,1.000000,0.000000,0.001000,0.000000,-0.001383,0.002417,0.001000,0.005000
2.500000,0.350000,0.100000,1.000000,0.000000,0.001000,0.000000,-0.001357,0.002631,0.001000,0.005000
2.500000,0.450000,0.100000,1.000000,0.000000,0.001000,0.000000,-0.001321,0.002854,0.001000,0.005000
2.500000,0.550000,0.100000,1.000000,0.000000,0.001000,0.000000,-0.001275,0.003090,0.001000,0.005000
2.500000,0.650000,0.100000,1.000000,0.000000,0.001000,0.000000,-0.001216,0.003344,0.001000,0.005000
2.500000,0.750000,0.100000,1.000000,0.000000,0.001000,0.000000,-0.001143,0.003623,0.001000,0.005000
2.500000,0.850000,0.100000,1.000000,0.000000,0.001000,0.000000,-0.001052,0.003937,0.001000,0.005000
2.500000,0.950000,0.100000,1.000000,0.000000,0.001000,0.000000,-0.000941,0.004300,0.001000,0.005000
2.500000,1.050000,0.100000,1.000000,0.000000,0.001000,0.000000,-0.000805,0.004729,0.001000,0.005000
2.500000,1.150000,0.100000,1.000000,0.000000,0.001000,0.000000,-0.000635,0.005251,0.001000,0.005000
2.500000,1.250000,0.100000,1.000000,0.000000,0.001000,0.000000,-0.000422,0.005903,0.001000,0.005000
2.500000,1.350000,0.100000,1.000000,0.000000,0.001000,0.000000,-0.000151,0.006740,0.001000,0.005000
2.500000,1.450000,0.100000,1.000000,0.000000,0.001000,0.000000,0.000203,0.007855,0.001000,0.005000
2.500000,1.550000,0.100000,1.000000,0.000000,0.001000,0.000000,0.000683,0.009401,0.001000,0.005000
2.500000,1.650000,0.100000,1.000000,0.000000,0.001000,0.000000,0.001367,0.011675,0.001000,0.005000
2.500000,1.750000,0.100000,1.000000,0.000000,0.001000,0.000000,0.002433,0.015337,0.001000,0.005000
2.500000,1.850000,0.100000,1.000000,0.000000,0.001000,0.000000,0.004412,0.022402,0.001000,0.005000
2.500000,1.950000,0.100000,1.000000,0.000000,0.001000,0.000000,0.010097,0.043528,0.001000,0.005000
2.450000,2.000000,0.100000,0.000000,1.000000,0.000000,0.001000,0.010070,0.043401,0.001000,0.004000
2.350000,2.000000,0.100000,0.000000,1.000000,0.000000,0.001000,0.004371,0.022218,0.001000,0.004000
2.250000,2.000000,0.100000,0.000000,1.000000,0.000000,0.001000,0.002388,0.015157,0.001000,0.004000
2.150000,2.000000,0.100000,0.000000,1.000000,0.000000,0.001000,0.001321,0.011524,0.001000,0.004000
2.050000,2.000000,0.100000,0.000000,1.000000,0.000000,0.001000,0.000636,0.009295,0.001000,0.004000
1.950000,2.000000,0.100000,0.000000,1.000000,0.000000,0.001000,0.000156,0.007805,0.001000,0.004000
1.850000,2.000000,0.100000,0.000000,1.000000,0.000000,0.001000,-0.000199,0.006753,0.001000,0.004000
1.750000,2.000000,0.100000,0.000000,1.000000,0.000000,0.001000,-0.000471,0.005984,0.001000,0.004000
1.650000,2.000000,0.100000,0.000000,1.000000,0.000000,0.001000,-0.000686,0.005404,0.001000,0.004000
1.550000,2.000000,0.100000,0.000000,1.000000,0.000000,0.001000,-0.000858,0.004956,0.001000,0.004000
1.450000,2.000000,0.100000,0.000000,1.000000,0.000000,0.001000,-0.000997,0.004601,0.001000,0.004000
1.350000,2.000000,0.100000,0.000000,1.000000,0.000000,0.001000,-0.001113,0.004312,0.001000,0.004000
1.250000,2.000000,0.100000,0.000000,1.000000,0.000000,0.001000,-0.001208,0.004069,0.001000,0.004000
1.150000,2.000000,0.100000,0.000000,1.000000,0.000000,0.001000,-0.001288,0.003858,0.001000,0.004000
1.050000,2.000000,0.100000,0.000000,1.000000,0.000000,0.001000,-0.001354,0.003669,0.001000,0.004000
0.950000,2.000000,0.100000,0.000000,1.000000,0.000000,0.001000,-0.001410,0.003492,0.001000,0.004000
0.850000,2.000000,0.100000,0.000000,1.000000,0.000000,0.001000,-0.001457,0.003322,0.001000,0.004000
0.750000,2.000000,0.100000,0.000000,1.000000,0.000000,0.001000,-0.001497,0.003153,0.001000,0.004000
0.650000,2.000000,0.100000,0.000000,1.000000,0.000000,0.001000,-0.001529,0.002982,0.001000,0.004000
0.550000,2.000000,0.100000,0.000000,1.000000,0.000000,0.001000,-0.001556,0.002804,0.001000,0.004000
0.450000,2.000000,0.100000,0.000000,1.000000,0.000000,0.001000,-0.001577,0.002618,0.001000,0.004000
0.350000,2.000000,0.100000,0.000000,1.000000,0.000000,0.001000,-0.001593,0.002421,0.001000,0.004000
0.250000,2.000000,0.100000,0.000000,1.000000,0.000000,0.001000,-0.001605,0.002212,0.001000,0.004000
0.150000,2.000000,0.100000,0.000000,1.000000,0.000000,0.001000,-0.001613,0.001990,0.001000,0.004000
0.050000,2.000000,0.100000,0.000000,1.000000,0.000000,0.001000,-0.001617,0.001755,0.001000,0.004000
-0.050000,2.000000,0.100000,0.000000,1.000000,0.000000,0.001000,-0.001617,0.001505,0.001000,0.004000
-0.150000,2.000000,0.100000,0.000000,1.000000,0.000000,0.001000,-0.001613,0.001241,0.001000,0.004000
-0.250000,2.000000,0.100000,0.000000,1.000000,0.000000,0.001000,-0.001605,0.000963,0.001000,0.004000
-0.350000,2.000000,0.100000,0.000000,1.000000,0.000000,0.001000,-0.001593,0.000672,0.001000,0.004000
-0.450000,2.000000,0.100000,0.000000,1.000000,0.000000,0.001000,-0.001577,0.000368,0.001000,0.004000
-0.550000,2.000000,0.100000,0.000000,1.000000,0.000000,0.001000,-0.001556,0.000055,0.001000,0.004000
-0.650000,2.000000,0.100000,0.000000,1.000000,0.000000,0.001000,-0.001529,-0.000267,0.001000,0.004000
-0.750000,2.000000,0.100000,0.000000,1.000000,0.000000,0.001000,-0.001497,-0.000596,0.001000,0.004000
-0.850000,2.000000,0.100000,0.000000,1.000000,0.000000,0.001000,-0.001457,-0.000927,0.001000,0.004000
-0.950000,2.000000,0.100000,0.000000,1.000000,0.000000,0.001000,-0.001410,-0.001257,0.001000,0.004000
-1.050000,2.000000,0.100000,0.000000,1.000000,0.000000,0.001000,-0.001354,-0.001580,0.001000,0.004000
-1.150000,2.000000,0.100000,0.000000,1.000000,0.000000,0.001000,-0.001288,-0.001891,0.001000,0.004000
-1.250000,2.000000,0.100000,0.000000,1.000000,0.000000,0.001000,-0.001208,-0.002180,0.001000,0.004000
-1.350000,2.000000,0.100000,0.000000,1.000000,0.000000,0.001000,-0.001113,-0.002437,0.001000,0.004000
-1.450000,2.000000,0.100000,0.000000,1.000000,0.000000,0.001000,-0.000997,-0.002647,0.001000,0.004000
-1.550000,2.000000,0.100000,0.000000,1.000000,0.000000,0.001000,-0.000858,-0.002792,0.001000,0.004000
-1.650000,2.000000,0.100000,0.000000,1.000000,0.000000,0.001000,-0.000686,-0.002843,0.001000,0.004000
-1.750000,2.000000,0.100000,0.000000,1.000000,0.000000,0.001000,-0.000471,-0.002763,0.001000,0.004000
-1.850000,2.000000,0.100000,0.000000,1.000000,0.000000,0.001000,-0.000199,-0.002494,0.001000,0.004000
-1.950000,2.000000,0.100000,0.000000,1.000000,0.000000,0.001000,0.000156,-0.001942,0.001000,0.004000
-2.050000,2.000000,0.100000,0.000000,1.000000,0.000000,0.001000,0.000636,-0.000951,0.001000,0.004000
-2.150000,2.000000,0.100000,0.000000,1.000000,0.000000,0.001000,0.001321,0.000779,0.001000,0.004000
-2.250000,2.000000,0.100000,0.000000,1.000000,0.000000,0.001000,0.002388,0.003913,0.001000,0.004000
-2.350000,2.000000,0.100000,0.000000,1.000000,0.000000,0.001000,0.004371,0.010476,0.001000,0.004000
-2.450000,2.000000,0.100000,0.000000,1.000000,0.000000,0.001000,0.010070,0.031164,0.001000,0.004000
-2.500000,1.950000,0.100000,-1.000000,0.000000,-0.001000,0.000000,0.010097,0.031061,0.001000,-0.000000
-2.500000,1.850000,0.100000,-1.000000,0.000000,-0.001000,0.000000,0.004412,0.009914,0.001000,-0.000000
-2.500000,1.750000,0.100000,-1.000000,0.000000,-0.001000,0.000000,0.002433,0.002845,0.001000,-0.000000
-2.500000,1.650000,0.100000,-1.000000,0.000000,-0.001000,0.000000,0.001367,-0.000819,0.001000,-0.000000
-2.500000,1.550000,0.100000,-1.000000,0.000000,-0.001000,0.000000,0.000683,-0.003094,0.001000,-0.000000
-2.500000,1.450000,0.100000,-1.000000,0.000000,-0.001000,0.000000,0.000203,-0.004641,0.001000,-0.000000
-2.500000,1.350000,0.100000,-1.000000,0.000000,-0.001000,0.000000,-0.000151,-0.005756,0.001000,-0.000000
-2.500000,1.250000,0.100000,-1.000000,0.000000,-0.001000,0.000000,-0.000422,-0.006594,0.001000,-0.000000
-2.500000,1.150000,0.100000,-1.000000,0.000000,-0.001000,0.000000,-0.000635,-0.007246,0.001000,-0.000000
-2.500000,1.050000,0.100000,-1.000000,0.000000,-0.001000,0.000000,-0.000805,-0.007768,0.001000,-0.000000
-2.500000,0.950000,0.100000,-1.000000,0.000000,-0.001000,0.000000,-0.000941,-0.008198,0.001000,-0.000000
-2.500000,0.850000,0.100000,-1.000000,0.000000,-0.001000,0.000000,-0.001052,-0.008561,0.001000,-0.000000
-2.500000,0.750000,0.100000,-1.000000,0.000000,-0.001000,0.000000,-0.001143,-0.008875,0.001000,-0.000000
-2.500000,0.650000,0.100000,-1.000000,0.000000,-0.001000,0.000000,-0.001216,-0.009155,0.001000,-0.000000
-2.500000,0.550000,0.100000,-1.000000,0.000000,-0.001000,0.000000,-0.001275,-0.009408,0.001000,-0.000000
-2.500000,0.450000,0.100000,-1.000000,0.000000,-0.001000,0.000000,-0.001321,-0.009644,0.001000,-0.000000
-2.500000,0.350000,0.100000,-1.000000,0.000000,-0.001000,0.000000,-0.001357,-0.009867,0.001000,-0.000000
-2.500000,0.250000,0.100000,-1.000000,0.000000,-0.001000,0.000000,-0.001383,-0.010081,0.001000,-0.000000
-2.500000,0.150000,0.100000,-1.000000,0.000000,-0.001000,0.000000,-0.001400,-0.010289,0.001000,-0.000000
-2.500000,0.050000,0.100000,-1.000000,0.000000,-0.001000,0.000000,-0.001408,-0.010493,0.001000,-0.000000
-2.500000,-0.050000,0.100000,-1.000000,0.000000,-0.001000,0.000000,-0.001408,-0.010693,0.001000,-0.000000
-2.500000,-0.150000,0.100000,-1.000000,0.000000,-0.001000,0.000000,-0.001400,-0.010889,0.001000,-0.000000
-2.500000,-0.250000,0.100000,-1.000000,0.000000,-0.001000,0.000000,-0.001383,-0.011081,0.001000,-0.000000
-2.500000,-0.350000,0.100000,-1.000000,0.000000,-0.001000,0.000000,-0.001357,-0.011267,0.001000,-0.000000
-2.500000,-0.450000,0.100000,-1.000000,0.000000,-0.001000,0.000000,-0.001321,-0.011444,0.001000,-0.000000
-2.500000,-0.550000,0.100000,-1.000000,0.000000,-0.001000,0.000000,-0.001275,-0.011608,0.001000,-0.000000
-2.500000,-0.650000,0.100000,-1.000000,0.000000,-0.001000,0.000000,-0.001216,-0.011754,0.001000,-0.000000
-2.500000,-0.750000,0.100000,-1.000000,0.000000,-0.001000,0.000000,-0.001143,-0.011875,0.001000,-0.000000
-2.500000,-0.850000,0.100000,-1.000000,0.000000,-0.001000,0.000000,-0.001052,-0.011960,0.001000,-0.000000
-2.500000,-0.950000,0.100000,-1.000000,0.000000,-0.001000,0.000000,-0.000941,-0.011997,0.001000,-0.000000
-2.500000,-1.050000,0.100000,-1.000000,0.000000,-0.001000,0.000000,-0.000805,-0.011967,0.001000,-0.000000
-2.500000,-1.150000,0.100000,-1.000000,0.000000,-0.001000,0.000000,-0.000635,-0.011845,0.001000,-0.000000
-2.500000,-1.250000,0.100000,-1.000000,0.000000,-0.001000,0.000000,-0.000422,-0.011593,0.001000,-0.000000
-2.500000,-1.350000,0.100000,-1.000000,0.000000,-0.001000,0.000000,-0.000151,-0.011154,0.001000,-0.000000
-2.500000,-1.450000,0.100000,-1.000000,0.000000,-0.001000,0.000000,0.000203,-0.010439,0.001000,-0.000000
-2.500000,-1.550000,0.100000,-1.000000,0.000000,-0.001000,0.000000,0.000683,-0.009291,0.001000,-0.000000
-2.500000,-1.650000,0.100000,-1.000000,0.000000,-0.001000,0.000000,0.001367,-0.007416,0.001000,-0.000000
-2.500000,-1.750000,0.100000,-1.000000,0.000000,-0.001000,0.000000,0.002433,-0.004150,0.001000,-0.000000
-2.500000,-1.850000,0.100000,-1.000000,0.000000,-0.001000,0.000000,0.004412,0.002520,0.001000,-0.000000
-2.500000,-1.950000,0.100000,-1.000000,0.000000,-0.001000,0.000000,0.010097,0.023271,0.001000,-0.000000
