xm,ym,length,xnormal,ynormal,Tx,Ty,F,phi,dF_dn,dphi_dn
-1.467066,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000.000000,20710357.977783,462607164.066409,1000.000000,0.000000
-1.437126,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000.000000,28189038.133459,82914620.289927,1000.000000,0.000000
-1.407186,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000.000000,28326183.792639,-313540505.799893,1000.000000,0.000000
-1.377246,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000.000000,21597992.031561,-631523383.310522,1000.000000,0.000000
-1.347305,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000.000000,10036916.319474,-803847419.747211,1000.000000,0.000000
-1.317365,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000.000000,-3530394.502356,-802340087.799799,1000.000000,0.000000
-1.287425,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000.000000,-16182727.940866,-637126059.853011,1000.000000,0.000000
-1.257485,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000.000000,-25495397.663984,-349647423.650052,1000.000000,0.000000
-1.227545,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000.000000,-29933284.604089,-3452.695822,1000.000000,0.000000
-1.197605,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000.000000,-29009707.774648,346001609.405883,1000.000000,0.000000
-1.167665,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000.000000,-23181094.473681,629557979.351944,1000.000000,0.000000
-1.137725,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000.000000,-13651674.540012,807647474.888702,1000.000000,0.000000
-1.107784,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000.000000,-2114418.601320,857191361.983685,1000.000000,0.000000
-1.077844,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000.000000,9633786.485741,777111172.533885,1000.000000,0.000000
-1.047904,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000.000000,19899035.091563,584956873.325941,1000.000000,0.000000
-1.017964,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000.000000,27362555.110809,313153996.258394,1000.000000,0.000000
-0.988024,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000.000000,31174957.703154,1929256.099691,1000.000000,0.000000
-0.958084,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000.000000,31024952.558095,-306043986.552367,1000.000000,0.000000
-0.928144,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000.000000,27103166.872114,-572066630.809279,1000.000000,0.000000
-0.898204,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000.000000,20026301.456059,-764991105.667140,1000.000000,0.000000
-0.868263,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000.000000,10734988.395829,-864868100.053648,1000.000000,0.000000
-0.838323,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000.000000,326805.853867,-863955714.114896,1000.000000,0.000000
-0.808383,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000.000000,-10057337.005412,-766064117.984651,1000.000000,0.000000
-0.778443,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000.000000,-19346947.140851,-585716219.637652,1000.000000,0.000000
-0.748503,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000.000000,-26665376.676495,-345222204.035932,1000.000000,0.000000
