x,y,R,s,phi,sigma_xx,sigma_yy,tau_xy,epsilon_xx,epsilon_yy,epsilon_xy
-0.680000,-1.680000,0.320116,0.080000,7604667.270547,526214021.951749,-519773358.764793,1570308813.765051,0.009878,-0.009829,0.029586
-0.600000,-1.680000,0.320002,0.080000,16521005.906718,1576049441.642102,-1563187562.505122,702708212.814158,0.029621,-0.029524,0.013239
-0.520000,-1.680000,0.320190,0.080000,16095134.945767,1636197165.652986,-1625147321.678716,-649862695.087262,0.030764,-0.030681,-0.012244
-0.440000,-1.680000,0.320129,0.080000,5945261.213957,681128215.644032,-679021248.190731,-1625007931.595305,0.012821,-0.012805,-0.030616
-0.360000,-1.680000,0.320001,0.080000,-8275339.136045,-689901613.793846,681418829.952334,-1635899878.887611,-0.012950,0.012886,-0.030821
-0.280000,-1.680000,0.320173,0.080000,-18407227.869327,-1659977743.232397,1645557567.254015,-695940565.593206,-0.031193,0.031085,-0.013112
-0.200000,-1.680000,0.320143,0.080000,-18647764.339375,-1679747016.442019,1667493226.756426,633526394.881739,-0.031578,0.031486,0.011936
-0.120000,-1.680000,0.320000,0.080000,-8849099.443107,-758388550.691226,755220004.458574,1592822660.815102,-0.014271,0.014247,0.030010
-0.040000,-1.680000,0.320158,0.080000,5510513.948744,570288452.982979,-562459120.261075,1653219949.396888,0.010700,-0.010641,0.031148
0.040000,-1.680000,0.320158,0.080000,16500888.183197,1559852475.264309,-1545147808.548204,797113570.140305,0.029305,-0.029195,0.015018
0.120000,-1.680000,0.320000,0.080000,18200207.884036,1663865906.917974,-1650214570.531182,-484856910.570661,0.031271,-0.031168,-0.009135
0.200000,-1.680000,0.320143,0.080000,9967253.821078,833971072.171160,-828805871.343895,-1468082080.276758,0.015683,-0.015644,-0.027660
0.280000,-1.680000,0.320173,0.080000,-3264972.277630,-450345632.056720,444215417.573356,-1595681027.934109,-0.008450,0.008404,-0.030064
0.360000,-1.680000,0.320001,0.080000,-13851513.098342,-1442581630.690448,1428679943.205081,-797981222.597232,-0.027100,0.026996,-0.015034
0.440000,-1.680000,0.320129,0.080000,-15886181.909588,-1554391082.779946,1540758895.711019,449171656.531764,-0.029209,0.029106,0.008463
0.520000,-1.680000,0.320190,0.080000,-8695813.904063,-718073876.520999,712669595.317634,1383025504.891868,-0.013498,0.013458,0.026057
0.600000,-1.680000,0.320002,0.080000,2774951.408544,536810302.267567,-531021109.375893,1413020695.663361,0.010081,-0.010037,0.026622
0.680000,-1.680000,0.320116,0.080000,11118233.867186,1383672679.129156,-1370863256.792891,521493372.052213,0.025997,-0.025900,0.009825
0.760000,-1.680000,0.320206,0.080000,11344936.915421,1242538977.955802,-1231553692.523041,-672732901.113613,0.023348,-0.023265,-0.012675
0.840000,-1.680000,0.320004,0.080000,4271120.906026,227820236.681921,-226100086.489118,-1303188150.664789,0.004283,-0.004270,-0.024553
0.920000,-1.680000,0.320104,0.080000,-4192400.306869,-867491892.335984,859586549.523458,-902085058.806355,-0.016299,0.016240,-0.016996
1.000000,-1.680000,0.320224,0.080000,-7683658.706128,-1155737813.473692,1145468920.905676,169243156.783797,-0.021717,0.021639,0.003189
1.080000,-1.680000,0.320007,0.080000,-4510423.271090,-432897627.986315,429083891.947174,953377775.332995,-0.008134,0.008106,0.017962
1.160000,-1.680000,0.320092,0.080000,1226331.757750,558788561.231100,-553907848.380864,752305295.849543,0.010500,-0.010464,0.014174
1.240000,-1.680000,0.320242,0.080000,3894985.776106,814394688.952905,-807285266.110178,-131091853.002627,0.015303,-0.015250,-0.002470
1.320000,-1.680000,0.320011,0.080000,1988544.859014,168390720.799537,-166872232.715334,-665069465.191480,0.003164,-0.003153,-0.012530
1.400000,-1.680000,0.320081,0.080000,-980727.464566,-476207204.889321,472170667.750298,-306454800.385200,-0.008949,0.008919,-0.005774
