xm,ym,length,xnormal,ynormal,T,dT_dn
-1.329119,1.008523,0.038098,-0.376779,0.926303,300.000000,-100.921945
-1.364253,0.993937,0.037986,-0.390075,0.920783,300.000000,-98.070808
-1.399066,0.978886,0.037870,-0.403600,0.914935,300.000000,-95.239753
-1.433542,0.963366,0.037748,-0.417363,0.908740,300.000000,-92.435493
-1.467664,0.947375,0.037620,-0.431370,0.902175,300.000000,-89.664307
-1.501413,0.930908,0.037486,-0.445632,0.895216,300.000000,-86.932007
-1.534769,0.913964,0.037345,-0.460154,0.887839,300.000000,-84.243930
-1.567714,0.896539,0.037196,-0.474945,0.880016,300.000000,-81.604927
-1.600224,0.878631,0.037039,-0.490010,0.871717,300.000000,-79.019370
-1.632278,0.860239,0.036875,-0.505355,0.862912,300.000000,-76.491155
-1.663852,0.841360,0.036702,-0.520985,0.853566,300.000000,-74.023720
-1.694921,0.821996,0.036521,-0.536901,0.843645,300.000000,-71.620067
-1.725460,0.802145,0.036330,-0.553107,0.833110,300.000000,-69.282781
-1.755442,0.781807,0.036131,-0.569602,0.821921,300.000000,-67.014062
-1.784839,0.760985,0.035922,-0.586383,0.810034,300.000000,-64.815753
-1.813624,0.739680,0.035705,-0.603445,0.797405,300.000000,-62.689370
-1.841767,0.717895,0.035479,-0.620779,0.783986,300.000000,-60.636136
-1.869238,0.695633,0.035244,-0.638374,0.769726,300.000000,-58.657011
-1.896007,0.672900,0.035000,-0.656215,0.754574,300.000000,-56.752725
-1.922043,0.649701,0.034749,-0.674281,0.738475,300.000000,-54.923810
-1.947314,0.626042,0.034491,-0.692545,0.721374,300.000000,-53.170632
-1.971789,0.601932,0.034226,-0.710978,0.703215,300.000000,-51.493413
-1.995435,0.577379,0.033956,-0.729540,0.683939,300.000000,-49.892266
-2.018221,0.552393,0.033681,-0.748186,0.663489,300.000000,-48.367217
-2.040113,0.526985,0.033403,-0.766863,0.641811,300.000000,-46.918229
-2.061082,0.501168,0.033123,-0.785510,0.618849,300.000000,-45.545222
-2.081094,0.474955,0.032843,-0.804055,0.594555,300.000000,-44.248096
-2.100120,0.448361,0.032563,-0.822419,0.568882,300.000000,-43.026741
-2.118129,0.421402,0.032287,-0.840512,0.541793,300.000000,-41.881059
-2.135091,0.394095,0.032015,-0.858235,0.513258,300.000000,-40.810966
-2.150979,0.366458,0.031750,-0.875478,0.483258,300.000000,-39.816410
-2.165765,0.338512,0.031494,-0.892126,0.451787,300.000000,-38.897369
-2.179424,0.310275,0.031249,-0.908054,0.418853,300.000000,-38.053857
-2.191931,0.281771,0.031017,-0.923132,0.384484,300.000000,-37.285920
-2.203264,0.253021,0.030800,-0.937226,0.348723,300.000000,-36.593639
-2.213402,0.224050,0.030600,-0.950202,0.311635,300.000000,-35.977115
-2.222327,0.194882,0.030419,-0.961927,0.273307,300.000000,-35.436464
-2.230022,0.165541,0.030259,-0.972274,0.233847,300.000000,-34.971797
-2.236472,0.136055,0.030121,-0.981123,0.193384,300.000000,-34.583188
-2.241666,0.106449,0.030008,-0.988370,0.152067,300.000000,-34.270543
-2.245595,0.076750,0.029920,-0.993924,0.110065,300.000000,-34.033962
-2.248250,0.046987,0.029858,-0.997715,0.067559,300.000000,-33.858896
-2.249629,0.016046,0.032101,-0.999733,0.023104,300.000000,-33.820486
-2.249629,-0.016046,0.032101,-0.999733,-0.023104,300.000000,-33.820486
-2.248250,-0.046987,0.029858,-0.997715,-0.067559,300.000000,-33.858896
-2.245595,-0.076750,0.029920,-0.993924,-0.110065,300.000000,-34.033962
-2.241666,-0.106449,0.030008,-0.988370,-0.152067,300.000000,-34.270543
-2.236472,-0.136055,0.030121,-0.981123,-0.193384,300.000000,-34.583188
-2.230022,-0.165541,0.030259,-0.972274,-0.233847,300.000000,-34.971797
-2.222327,-0.194882,0.030419,-0.961927,-0.273307,300.000000,-35.436464
-2.213402,-0.224050,0.030600,-0.950202,-0.311635,300.000000,-35.977115
-2.203264,-0.253021,0.030800,-0.937226,-0.348723,300.000000,-36.593639
-2.191931,-0.281771,0.031017,-0.923132,-0.384484,300.000000,-37.285920
-2.179424,-0.310275,0.031249,-0.908054,-0.418853,300.000000,-38.053857
-2.165765,-0.338512,0.031494,-0.892126,-0.451787,300.000000,-38.897369
-2.150979,-0.366458,0.031750,-0.875478,-0.483258,300.000000,-39.816410
