xm,ym,length,xnormal,ynormal,Tx,Ty,F,phi,dF_dn,dphi_dn
-1.706587,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000000.000000,0.000000,-882891284961.516479,0.000000,0.000000
-1.676647,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000000.000000,0.000000,-847581897342.885742,0.000000,0.000000
-1.646707,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000000.000000,0.000000,-465149901337.168213,0.000000,0.000000
-1.616766,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000000.000000,0.000000,85201343045.120819,0.000000,0.000000
-1.586826,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000000.000000,0.000000,591897536951.607300,0.000000,0.000000
-1.556886,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000000.000000,0.000000,888826031770.114624,0.000000,0.000000
-1.526946,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000000.000000,0.000000,898913574214.344360,0.000000,0.000000
-1.497006,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000000.000000,0.000000,643046652140.339233,0.000000,0.000000
-1.467066,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000000.000000,0.000000,212093876576.058533,0.000000,0.000000
-1.437126,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000000.000000,0.000000,-267292300521.882111,0.000000,0.000000
-1.407186,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000000.000000,0.000000,-672215647462.564453,0.000000,0.000000
-1.377246,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000000.000000,0.000000,-911824908025.107910,0.000000,0.000000
-1.347305,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000000.000000,0.000000,-943043390964.939697,0.000000,0.000000
-1.317365,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000000.000000,0.000000,-772469932366.735840,0.000000,0.000000
-1.287425,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000000.000000,0.000000,-446790961089.422119,0.000000,0.000000
-1.257485,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000000.000000,0.000000,-38317429089.978165,0.000000,0.000000
-1.227545,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000000.000000,0.000000,372752547475.205383,0.000000,0.000000
-1.197605,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000000.000000,0.000000,713360210315.516602,0.000000,0.000000
-1.167665,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000000.000000,0.000000,929382309934.543945,0.000000,0.000000
-1.137725,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000000.000000,0.000000,992192203029.955444,0.000000,0.000000
-1.107784,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000000.000000,0.000000,899196881192.960449,0.000000,0.000000
-1.077844,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000000.000000,0.000000,671760196771.485962,0.000000,0.000000
-1.047904,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000000.000000,0.000000,348709846893.726074,0.000000,0.000000
-1.017964,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000000.000000,0.000000,-20535896448.026642,0.000000,0.000000
-0.988024,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000000.000000,0.000000,-384529182630.304016,0.000000,0.000000
-0.958084,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000000.000000,0.000000,-696012365726.493896,0.000000,0.000000
-0.928144,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000000.000000,0.000000,-918018516582.245483,0.000000,0.000000
-0.898204,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000000.000000,0.000000,-1026620463266.139771,0.000000,0.000000
-0.868263,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000000.000000,0.000000,-1013121034378.263428,0.000000,0.000000
-0.838323,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000000.000000,0.000000,-883317581350.314575,0.000000,0.000000
-0.808383,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000000.000000,0.000000,-655303591827.035400,0.000000,0.000000
-0.778443,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000000.000000,0.000000,-357072234312.228699,0.000000,0.000000
-0.748503,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000000.000000,0.000000,-22156970878.309494,0.000000,0.000000
-0.718563,-2.000000,0.029940,0.000000,-1.000000,0.000000,-1000000.000000,0.000000,313773311660.294800,0.000000,0.000000
