x,y,R,s,T
-0.980000,-0.900000,0.840853,0.040000,327.784949
-0.940000,-0.900000,0.823744,0.040000,329.903898
-0.900000,-0.900000,0.808255,0.040000,332.011611
-0.860000,-0.900000,0.792728,0.040000,334.099084
-0.820000,-0.900000,0.778945,0.040000,336.157123
-0.780000,-0.900000,0.765291,0.040000,338.176476
-0.740000,-0.900000,0.753289,0.040000,340.147971
-0.700000,-0.900000,0.741284,0.040000,342.062654
-0.660000,-0.900000,0.730673,0.040000,343.911917
-0.620000,-0.900000,0.720632,0.040000,345.687619
-0.580000,-0.900000,0.711254,0.040000,347.382181
-0.540000,-0.900000,0.703007,0.040000,348.988669
-0.500000,-0.900000,0.695054,0.040000,350.500839
-0.460000,-0.900000,0.687821,0.040000,351.913163
-0.420000,-0.900000,0.681535,0.040000,353.220832
-0.380000,-0.900000,0.675828,0.040000,354.419735
-0.340000,-0.900000,0.670426,0.040000,355.506415
-0.300000,-0.900000,0.665864,0.040000,356.478019
-0.260000,-0.900000,0.662126,0.040000,357.332237
-0.220000,-0.900000,0.658717,0.040000,358.067232
-0.180000,-0.900000,0.655729,0.040000,358.681576
-0.140000,-0.900000,0.653527,0.040000,359.174188
-0.100000,-0.900000,0.652097,0.040000,359.544274
-0.060000,-0.900000,0.650917,0.040000,359.791285
-0.020000,-0.900000,0.650180,0.040000,359.914873
0.020000,-0.900000,0.650180,0.040000,359.914873
0.060000,-0.900000,0.650917,0.040000,359.791285
0.100000,-0.900000,0.652097,0.040000,359.544274
0.140000,-0.900000,0.653527,0.040000,359.174188
0.180000,-0.900000,0.655729,0.040000,358.681576
0.220000,-0.900000,0.658717,0.040000,358.067232
0.260000,-0.900000,0.662126,0.040000,357.332237
0.300000,-0.900000,0.665864,0.040000,356.478019
0.340000,-0.900000,0.670426,0.040000,355.506415
0.380000,-0.900000,0.675828,0.040000,354.419735
0.420000,-0.900000,0.681535,0.040000,353.220832
0.460000,-0.900000,0.687821,0.040000,351.913163
0.500000,-0.900000,0.695054,0.040000,350.500839
0.540000,-0.900000,0.703007,0.040000,348.988669
0.580000,-0.900000,0.711254,0.040000,347.382181
0.620000,-0.900000,0.720632,0.040000,345.687619
0.660000,-0.900000,0.730673,0.040000,343.911917
