x,y,R,s,phi,phi_an
-0.640000,0.480000,0.300430,0.040000,-1.842388,-0.911606
-0.600000,0.480000,0.269825,0.040000,-1.849954,-0.812644
-0.560000,0.480000,0.237999,0.040000,-1.845898,-0.715612
-0.520000,0.480000,0.208811,0.040000,-1.832621,-0.621402
-0.480000,0.480000,0.179311,0.040000,-1.812281,-0.530842
0.480000,0.480000,0.180057,0.040000,-1.812281,-0.530842
0.520000,0.480000,0.208155,0.040000,-1.832621,-0.621402
0.560000,0.480000,0.238780,0.040000,-1.845898,-0.715612
0.600000,0.480000,0.268771,0.040000,-1.849954,-0.812644
0.640000,0.480000,0.301099,0.040000,-1.842388,-0.911606
0.680000,0.480000,0.332947,0.040000,-1.820548,-1.011546
-0.640000,0.520000,0.325726,0.040000,-1.927452,-1.088182
-0.600000,0.520000,0.294375,0.040000,-1.917355,-0.965412
-0.560000,0.520000,0.265359,0.040000,-1.896594,-0.846108
-0.520000,0.520000,0.235863,0.040000,-1.867614,-0.731162
-0.480000,0.520000,0.208833,0.040000,-1.832621,-0.621402
-0.440000,0.520000,0.181608,0.040000,-1.793591,-0.517596
0.440000,0.520000,0.182615,0.040000,-1.793591,-0.517596
0.480000,0.520000,0.208148,0.040000,-1.832621,-0.621402
0.520000,0.520000,0.236478,0.040000,-1.867614,-0.731162
0.560000,0.520000,0.264632,0.040000,-1.896594,-0.846108
0.600000,0.520000,0.295346,0.040000,-1.917355,-0.965412
0.640000,0.520000,0.325041,0.040000,-1.927452,-1.088182
-0.600000,0.560000,0.321913,0.040000,-1.981015,-1.126807
-0.560000,0.560000,0.292422,0.040000,-1.942383,-0.983450
-0.520000,0.560000,0.265123,0.040000,-1.896594,-0.846108
-0.480000,0.560000,0.238084,0.040000,-1.845898,-0.715612
-0.440000,0.560000,0.213325,0.040000,-1.792317,-0.592730
-0.400000,0.560000,0.188595,0.040000,-1.737660,-0.478167
-0.360000,0.560000,0.167314,0.040000,-1.683534,-0.372570
0.360000,0.560000,0.166156,0.040000,-1.683534,-0.372570
0.400000,0.560000,0.189753,0.040000,-1.737660,-0.478167
0.440000,0.560000,0.212656,0.040000,-1.792317,-0.592730
0.480000,0.560000,0.238525,0.040000,-1.845898,-0.715612
0.520000,0.560000,0.264710,0.040000,-1.896594,-0.846108
0.560000,0.560000,0.292956,0.040000,-1.942383,-0.983450
0.600000,0.560000,0.321140,0.040000,-1.981015,-1.126807
-0.560000,0.600000,0.321511,0.040000,-1.981015,-1.126807
-0.520000,0.600000,0.294595,0.040000,-1.917355,-0.965412
-0.480000,0.600000,0.269090,0.040000,-1.849954,-0.812644
-0.440000,0.600000,0.244642,0.040000,-1.780877,-0.669271
-0.400000,0.600000,0.222160,0.040000,-1.711976,-0.536000
-0.360000,0.600000,0.200121,0.040000,-1.644897,-0.413476
-0.320000,0.600000,0.181395,0.040000,-1.581096,-0.302282
-0.280000,0.600000,0.162948,0.040000,-1.521851,-0.202941
0.280000,0.600000,0.162883,0.040000,-1.521851,-0.202941
0.320000,0.600000,0.180443,0.040000,-1.581096,-0.302282
0.360000,0.600000,0.201251,0.040000,-1.644897,-0.413476
0.400000,0.600000,0.221611,0.040000,-1.711976,-0.536000
0.440000,0.600000,0.244855,0.040000,-1.780877,-0.669271
0.480000,0.600000,0.269017,0.040000,-1.849954,-0.812644
0.520000,0.600000,0.294687,0.040000,-1.917355,-0.965412
0.560000,0.600000,0.321275,0.040000,-1.981015,-1.126807
-0.520000,0.640000,0.325134,0.040000,-1.927452,-1.088182
-0.480000,0.640000,0.300884,0.040000,-1.842388,-0.911606
