x,y,R,s,phi,sigma_xx,sigma_yy,tau_xy,epsilon_xx,epsilon_yy,epsilon_xy
-0.920000,-1.600000,0.401123,0.080000,-1753.784560,-2.864507,1.602981,-0.159386,-0.000000,0.000000,-0.000000
-0.840000,-1.600000,0.400125,0.080000,-1753.835404,-2.616230,1.356280,-0.077142,-0.000000,0.000000,-0.000000
-0.760000,-1.600000,0.400125,0.080000,-1753.877542,-2.409402,1.149914,-0.020204,-0.000000,0.000000,-0.000000
-0.680000,-1.600000,0.401123,0.080000,-1753.912296,-2.238129,0.978017,0.016939,-0.000000,0.000000,0.000000
-0.600000,-1.600000,0.403113,0.080000,-1753.940772,-2.095611,0.835170,0.038790,-0.000000,0.000000,0.000000
-0.520000,-1.600000,0.401123,0.080000,-1753.963888,-1.976681,0.717058,0.049753,-0.000000,0.000000,0.000000
-0.440000,-1.600000,0.400125,0.080000,-1753.982400,-1.879321,0.620841,0.053352,-0.000000,0.000000,0.000000
-0.360000,-1.600000,0.400125,0.080000,-1753.996923,-1.802902,0.544545,0.051352,-0.000000,0.000000,0.000000
-0.280000,-1.600000,0.401123,0.080000,-1754.007945,-1.745412,0.486165,0.044369,-0.000000,0.000000,0.000000
-0.200000,-1.600000,0.403113,0.080000,-1754.015843,-1.703380,0.443591,0.033380,-0.000000,0.000000,0.000000
-0.120000,-1.600000,0.401123,0.080000,-1754.020894,-1.674506,0.415363,0.020257,-0.000000,0.000000,0.000000
-0.040000,-1.600000,0.400125,0.080000,-1754.023275,-1.659274,0.401132,0.006720,-0.000000,0.000000,0.000000
0.040000,-1.600000,0.400125,0.080000,-1754.023076,-1.659274,0.401131,-0.006717,-0.000000,0.000000,-0.000000
0.120000,-1.600000,0.401123,0.080000,-1754.020296,-1.674505,0.415362,-0.020255,-0.000000,0.000000,-0.000000
0.200000,-1.600000,0.403113,0.080000,-1754.014848,-1.703378,0.443589,-0.033378,-0.000000,0.000000,-0.000000
0.280000,-1.600000,0.401123,0.080000,-1754.006551,-1.745409,0.486162,-0.044366,-0.000000,0.000000,-0.000000
0.360000,-1.600000,0.400125,0.080000,-1753.995131,-1.802898,0.544541,-0.051349,-0.000000,0.000000,-0.000000
0.440000,-1.600000,0.400125,0.080000,-1753.980210,-1.879316,0.620836,-0.053350,-0.000000,0.000000,-0.000000
0.520000,-1.600000,0.401123,0.080000,-1753.961300,-1.976675,0.717052,-0.049751,-0.000000,0.000000,-0.000000
0.600000,-1.600000,0.403113,0.080000,-1753.937786,-2.095604,0.835163,-0.038788,-0.000000,0.000000,-0.000000
0.680000,-1.600000,0.401123,0.080000,-1753.908911,-2.238120,0.978009,-0.016938,-0.000000,0.000000,-0.000000
0.760000,-1.600000,0.400125,0.080000,-1753.873759,-2.409391,1.149904,0.020204,-0.000000,0.000000,0.000000
0.840000,-1.600000,0.400125,0.080000,-1753.831224,-2.616218,1.356269,0.077142,-0.000000,0.000000,0.000000
0.920000,-1.600000,0.401123,0.080000,-1753.779982,-2.864493,1.602967,0.159385,-0.000000,0.000000,0.000000
1.000000,-1.600000,0.403113,0.080000,-1753.718454,-3.159357,1.896455,0.275509,-0.000000,0.000000,0.000000
